,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
3,674799,https://www.airbnb.com/rooms/674799,20240915172945,2024-09-15,city scrape,"Private entrance apartment, 3-bdrm - up to 8 guest","GREAT for a family or a group. The apt. is lower level of our house. <br /><br />No party, no smoke in the Apt. No breakfast provided.<br /><br />Kitchen, bathroom, eating & living areas, 3 bedrooms, 3 queen beds, plus 1 single bed & 1 futon of double size.<br /><br />Safe & quiet neighborhood; Buses nearby, driveway parking for 2 cars, and street parking. Internet included. <br /><br />Please introduce yourself and other guests - age, gender, relationships, smoking? As your host, we would like to know you before open our door. Thanks","Backstreet, small family oriented, peaceful, clean and quiet",https://a0.muscache.com/pictures/39672e5f-36f6-45d3-ae0b-d18716befba0.jpg,2058676,https://www.airbnb.com/users/show/2058676,William,2012-04-02,"Ottawa, Canada","We have been living in Ottawa for years. I work for Canadian government. We are a big family who loves traveling and talking with people . We used Airbnb a lot therefore  understand what travelers need the most. We would  provide the best services. Our place is clean, safe and quiet. 

We believe using Airbnb is like making friends worldwide. Please introduce yourself, what brings you to Ottawa, where you are from, age, smoking or not, etc...",within a few hours,100%,80%,t,https://a0.muscache.com/im/pictures/user/92bb7628-d41f-4ab9-9504-87032baa65fb.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/92bb7628-d41f-4ab9-9504-87032baa65fb.jpg?aki_policy=profile_x_medium,,1,8,['phone'],t,t,Neighborhood highlights,Gloucester-South Nepean,,45.2691,-75.72197,Entire home,Entire home/apt,8,1.0,1 bath,5.0,4.0,"[""Toaster"", ""Host greets you"", ""Free parking on premises"", ""Air conditioning"", ""Hair dryer"", ""Refrigerator"", ""Fire extinguisher"", ""Wifi"", ""Heating"", ""Essentials"", ""Induction stove"", ""Shampoo"", ""Hangers"", ""Kitchen"", ""Exterior security cameras on property"", ""Wine glasses"", ""Iron"", ""Dishes and silverware"", ""Microwave"", ""Rice maker"", ""Dedicated workspace"", ""First aid kit"", ""Cooking basics"", ""Hot water"", ""Carbon monoxide alarm"", ""Smoke alarm""]",$66.00,1,90,1,2,90,90,1.3,90.0,,t,27,57,87,362,2024-09-15,91,37,4,2013-07-02,2024-09-11,4.7,4.69,4.78,4.84,4.87,4.73,4.63,STR-827-424,f,1,1,0,0,0.67
9,1026310,https://www.airbnb.com/rooms/1026310,20240915172945,2024-09-15,city scrape,Lakehouse Inspired Retreat Close to Downtown,"The perfect location! Minutes from Parliament, Byward market, Gatineau Hills, Spa Nordik, national museums and conference centres. Our custom home is on the National Marathon route with easy access to HWY 417. While our home is a work in progress, you will feel welcomed by a luxurious eat-in kitchen, relaxing large front porch, spa bath and spacious light filled rooms. We have welcomed  families, small group retreats, movie crews and conference attendees.  OMDC television & media also welcome.","A quiet tree lined area only a few minute walk to a local lake for swimming, the river pathway for running/biking or walking...beautiful sunsets and views of Quebec across the river. We are located steps from the number 7 bus route and in walking distance of a corner store and restaurants and coffee shops.",https://a0.muscache.com/pictures/2dca482a-94a4-4fdd-a343-0297834c4678.jpg,5649683,https://www.airbnb.com/users/show/5649683,Melanie,2013-03-27,"Ottawa, Canada"," I am a photographer based in Canada's national capital. While we love to bike, ski and cottage close to home, our wanderlust and sense of adventure have us exploring whenever opportunity allows. We have benefited from being welcomed in many AirBnB homes and are happy to extend this to you as well. 

",,,,f,https://a0.muscache.com/im/pictures/user/a8a5b0de-a687-45a6-8d09-fe4d50093b81.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/a8a5b0de-a687-45a6-8d09-fe4d50093b81.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,Neighborhood highlights,Rideau-Rockcliffe,,45.45592,-75.65727,Entire home,Entire home/apt,8,2.5,2.5 baths,4.0,4.0,"[""TV"", ""Long term stays allowed"", ""Self check-in"", ""Oven"", ""Pets allowed"", ""Free parking on premises"", ""Air conditioning"", ""Free street parking"", ""Washer"", ""Private hot tub"", ""Hair dryer"", ""Refrigerator"", ""Fire extinguisher"", ""Wifi"", ""Gym"", ""Dryer"", ""Heating"", ""BBQ grill"", ""Luggage dropoff allowed"", ""Private patio or balcony"", ""Shower gel"", ""Barbecue utensils"", ""Essentials"", ""Indoor fireplace"", ""Bed linens"", ""Keypad"", ""Coffee maker"", ""Shampoo"", ""Hangers"", ""Kitchen"", ""Exterior security cameras on property"", ""Stove"", ""Iron"", ""Dishes and silverware"", ""Microwave"", ""Dishwasher"", ""Private backyard \u2013 Fully fenced"", ""Baking sheet"", ""Dedicated workspace"", ""First aid kit"", ""Cooking basics"", ""Hot water"", ""Carbon monoxide alarm"", ""Smoke alarm""]",$725.00,30,30,30,30,1125,1125,30.0,1125.0,,t,23,53,83,263,2024-09-15,17,0,0,2016-05-24,2021-12-29,4.76,4.82,4.71,4.94,4.94,4.94,4.5,,f,1,1,0,0,0.17
16,1774018,https://www.airbnb.com/rooms/1774018,20240915172945,2024-09-15,city scrape,Zen Tranquility Retreat,"A comfortable, homey, cute and elegant home away from home that has been recently painted and carpets cleaned (as recent as October 2020) for a fresh look and feel.  Zen Tranquility Retreat is located 20 minutes from downtown Ottawa.  This sophisticated  and exceptionally clean 3 story, 3 bedroom, 1 and a half baths townhome boasts many amenities and is close to parks and trails for guests to enjoy.","A 5 minute drive to RioCan shopping centre. Loblaws Superstore, LCBO, Kelseys, Paramount Middle East Restaurant,  Sushi and tons of other eating places.<br /><br />Less than 10 minute drive to Costco, Lone Star, East Side Marios and several other neat places.",https://a0.muscache.com/pictures/7e5680da-6f58-4e75-9c6b-3ed580100899.jpg,294136176,https://www.airbnb.com/users/show/294136176,Vania,2019-09-11,"Ottawa, Canada","Hello,
We are a family of 4 from Ottawa.  I have a couple of airbnbs here in Ottawa that I manage.  We are quiet and a very clean family.  We respect rules and will treat your home with care and respect .  Thank you for hosting us!",,,,f,https://a0.muscache.com/im/pictures/user/8b4cb004-168a-42fe-97d7-9471491b0ff9.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/8b4cb004-168a-42fe-97d7-9471491b0ff9.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone']",t,t,Neighborhood highlights,Barrhaven,,45.25212,-75.74594,Entire townhouse,Entire home/apt,5,1.5,1.5 baths,3.0,3.0,"[""Stainless steel oven"", ""Toaster"", ""Self check-in"", ""Central air conditioning"", ""Extra pillows and blankets"", ""Dining table"", ""Free street parking"", ""Hair dryer"", ""Refrigerator"", ""Portable fans"", ""Fire extinguisher"", ""Wifi"", ""TV with Apple TV"", ""Cleaning products"", ""Private patio or balcony"", ""Essentials"", ""Free dryer \u2013 In unit"", ""Room-darkening shades"", ""Private entrance"", ""Hot water kettle"", ""Bed linens"", ""Keypad"", ""Bathtub"", ""Coffee maker"", ""Free washer \u2013 In unit"", ""Hangers"", ""Indoor fireplace: electric"", ""Freezer"", ""Kitchen"", ""Exterior security cameras on property"", ""Wine glasses"", ""Stove"", ""Iron"", ""Dishes and silverware"", ""Ethernet connection"", ""Microwave"", ""Blender"", ""Coffee"", ""Dishwasher"", ""Baking sheet"", ""Dedicated workspace"", ""First aid kit"", ""Cooking basics"", ""Hot water"", ""Central heating"", ""Carbon monoxide alarm"", ""Smoke alarm""]",$180.00,31,90,31,31,1125,1125,31.0,1125.0,,t,30,60,90,180,2024-09-15,33,0,0,2019-09-22,2023-09-01,4.91,4.91,4.97,4.85,4.97,4.73,4.67,,f,1,1,0,0,0.54
17,1827668,https://www.airbnb.com/rooms/1827668,20240915172945,2024-09-15,city scrape,Centrally located 3 bedroom home in Westboro!,"For the summer of 2020 I will only be accepting a minimum one month rental starting June 4th. Vintage inspired bungalow home located in Westboro Beach area for rent. This home comfortably accommodates up to 6 people. Located steps away from all the shops, best restaurants in the city, bike path and beach. Funky home for family or friends to share. Pet friendly.  Parking for two cars. Close to Tunney's Pasture, Civic Hospital and a 10 minute bus ride to downtown!","Westboro has some of the best restaurants in the city! You could dine out every night during your stay or cook at home. Richmond Road has many outdoor shops, cafes, boutiques , gift shops, food retailers etc. During the summer go for a swim in the evening right behind my home at Kitschissippi beach! The bike path along the parkway offers safe biking to downtown within 30 minutes.",https://a0.muscache.com/pictures/06975c88-f642-4584-b82f-0f7815de77b8.jpg,6818912,https://www.airbnb.com/users/show/6818912,Anne-Marie,2013-06-09,"Ottawa, Canada","I've decided to open my home in Ottawa to fellow travellers! I'm new to Airbnb and open to suggestions. I've traveled on my own to India, Europe, USA, sailed in the Grenadine Islands, South America. I love Ottawa and have lived here most of my life. I own a business in the city and would gladly help you find the right place to shop, eat, visit etc.",,,100%,f,https://a0.muscache.com/im/users/6818912/profile_pic/1406224214/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/6818912/profile_pic/1406224214/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,Neighborhood highlights,Kitchissippi,,45.39533,-75.7582,Entire bungalow,Entire home/apt,6,1.0,1 bath,3.0,3.0,"[""Long term stays allowed"", ""Self check-in"", ""Oven"", ""Pets allowed"", ""Free parking on premises"", ""TV with standard cable"", ""Lockbox"", ""Air conditioning"", ""Free street parking"", ""Washer"", ""Hair dryer"", ""Refrigerator"", ""Wifi"", ""Dryer"", ""Heating"", ""Essentials"", ""Bed linens"", ""Coffee maker"", ""Shampoo"", ""Baby safety gates"", ""Hangers"", ""Kitchen"", ""Stove"", ""Iron"", ""Dishes and silverware"", ""Microwave"", ""Backyard"", ""Patio or balcony"", ""Dishwasher"", ""Cooking basics"", ""First aid kit"", ""Hot water"", ""Carbon monoxide alarm"", ""Smoke alarm""]",$189.00,30,120,30,30,1125,1125,30.0,1125.0,,t,0,0,0,226,2024-09-15,61,0,0,2013-12-27,2021-08-26,4.8,4.84,4.77,4.88,4.93,4.93,4.83,,f,1,1,0,0,0.47
26,2744294,https://www.airbnb.com/rooms/2744294,20240915172945,2024-09-15,city scrape,3 Bedroom Executive Apt in Westboro,"Updated 3 bdrm/1.5 bath apartment, located right in the heart of trendy Westboro, a family friendly borough known for great stores and restaurants. Steps from transit line and close to bike paths makes this spot ideal for visiting Ottawa.","Westboro is a vibrant, family friendly community. Richmond Road is lined with many boutiques and better known stores, cafés, yoga studios, and restaurants. Be sure to check out the market Saturday mornings. <br /><br />For those with children, there are several neighbourhood parks with fun structures, kiddie pool/splash pad within a few blocks. There are extensive trails along the Ottawa River and nearby Westboro Beach about a 10 minute walk away.<br /><br />Also close by (walking distance):<br />- Gezellig is owned by a reputable restaurateur. It's nice because you can get any two plates for $28 at brunch/lunch. It has a modern, simple decor. <br />- Both PiCo and Fiazza are great take-out/eat-in pizza joints within a block<br />- The Works is a beloved Ottawa hamburger chain. It's known for its many topping selections (including peanut butter and macaroni - but not together). It has a neat atmosphere.<br />-Trio, with a boho atmosphere and delectable small plates.<br />- Newboro is a",https://a0.muscache.com/pictures/40950093/55a69000_original.jpg,8166549,https://www.airbnb.com/users/show/8166549,Michael,2013-08-14,"Ottawa, Canada","We're from Ottawa, Ontario, Canada. Michael works for the government in Canada's northern communities. As all good Canadian boys do, he loves hockey. His love of hockey almost rivals his love of live music, dancing, relaxing at the cottage and cooking. Alisha is a high school English teacher. She loves working with youth, finds they keep her honest, and enjoys their exuberance. Michael's great cooking and tolerance of Alisha's ever-growing-library make up for the many hours he spends drafting for his fantasy league in the summer and glued to the screen in the fall-winter-spring. Together, they love to travel and hope to do more of it in the future.    ",within a day,100%,73%,f,https://a0.muscache.com/im/users/8166549/profile_pic/1403723555/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/8166549/profile_pic/1403723555/original.jpg?aki_policy=profile_x_medium,,1,2,"['email', 'phone']",t,t,Neighborhood highlights,Kitchissippi,,45.40154,-75.74731,Entire rental unit,Entire home/apt,5,1.5,1.5 baths,3.0,3.0,"[""Children\u2019s dinnerware"", ""Toaster"", ""Long term stays allowed"", ""Central air conditioning"", ""High chair - available upon request"", ""Extra pillows and blankets"", ""Oven"", ""Shared backyard \u2013 Not fully fenced"", ""Conditioner"", ""Host greets you"", ""Dining table"", ""Free parking on premises"", ""Free street parking"", ""Clothing storage: closet and dresser"", ""Hair dryer"", ""Refrigerator"", ""Portable fans"", ""Wifi"", ""Heating"", ""Pack \u2019n play/Travel crib - available upon request"", ""Cleaning products"", ""Body soap"", ""Books and reading material"", ""Essentials"", ""Free dryer \u2013 In unit"", ""Room-darkening shades"", ""Hot water kettle"", ""Bed linens"", ""Children\u2019s books and toys"", ""Bathtub"", ""55 inch HDTV with Apple TV, Amazon Prime Video, Disney+, Netflix"", ""Coffee maker"", ""Shampoo"", ""Free washer \u2013 In unit"", ""Baby safety gates"", ""Hangers"", ""Kitchen"", ""Wine glasses"", ""Drying rack for clothing"", ""Iron"", ""Stove"", ""Dishes and silverware"", ""Blender"", ""Coffee"", ""Dishwasher"", ""Baking sheet"", ""Dedicated workspace"", ""First aid kit"", ""Cooking basics"", ""Outlet covers"", ""Hot water"", ""Carbon monoxide alarm"", ""Smoke alarm""]",$200.00,3,1125,3,3,1125,1125,3.0,1125.0,,t,11,11,11,11,2024-09-15,53,6,1,2014-06-28,2024-08-26,4.92,4.92,4.9,4.94,4.94,5.0,4.89,STR-827-262,f,1,1,0,0,0.43
30,3929195,https://www.airbnb.com/rooms/3929195,20240915172945,2024-09-15,city scrape,Victorian House in Byward Market,"Restored Victorian in the heart of Ottawa's Byward Market - steps from the National Art Gallery, the Mint, the Market's pubs and restaurants. Walking to Parliament Hill, Gatineau and the University of Ottawa. Home next door also available for groups.","In the heart of Ottawa's historic Byward Market district, steps from National Art Gallery, shopping, restaurants and pubs. Also walking distance to Parliament Hill, museums,  as well as several playgrounds and pools for children.",https://a0.muscache.com/pictures/49423017/d6994d8f_original.jpg,20355739,https://www.airbnb.com/users/show/20355739,Irma,2014-08-21,"Ottawa, Canada",Retired public servant.,within a day,100%,50%,f,https://a0.muscache.com/im/users/20355739/profile_pic/1408634506/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/20355739/profile_pic/1408634506/original.jpg?aki_policy=profile_x_medium,,1,2,"['email', 'phone']",t,t,Neighborhood highlights,Rideau-Vanier,,45.43206,-75.6949,Entire townhouse,Entire home/apt,5,1.5,1.5 baths,3.0,4.0,"[""Pets allowed"", ""Host greets you"", ""Free parking on premises"", ""TV with standard cable"", ""Air conditioning"", ""Washer"", ""Hair dryer"", ""Fire extinguisher"", ""Wifi"", ""Dryer"", ""Bread maker"", ""Heating"", ""Barbecue utensils"", ""Fireplace guards"", ""Baby monitor"", ""Essentials"", ""Hot water kettle"", ""Children\u2019s books and toys"", ""Coffee maker"", ""Shampoo"", ""Baby safety gates"", ""Hangers"", ""High chair"", ""Freezer"", ""Kitchen"", ""Iron"", ""Dishes and silverware"", ""Microwave"", ""Blender"", ""Dishwasher"", ""Baking sheet"", ""Dedicated workspace"", ""First aid kit"", ""Cooking basics"", ""Hot water"", ""Carbon monoxide alarm"", ""Smoke alarm""]",$260.00,14,200,14,14,200,200,14.0,200.0,,t,30,60,90,180,2024-09-15,21,1,0,2014-11-23,2024-06-16,4.9,4.86,4.62,5.0,4.86,5.0,4.81,STR-826-972,f,1,1,0,0,0.18
39,5696970,https://www.airbnb.com/rooms/5696970,20240915172945,2024-09-15,city scrape,The Perfect Carlington Escape,"Welcome to our cozy Carlington retreat, perfect for families, and couples. Nestled in a friendly neighborhood, our charming home offers modern amenities and a warm ambiance. Enjoy plush seating, a fully equipped kitchen, and restful bedrooms. Centrally located, you're minutes from shopping, dining, and entertainment, with easy access to Ottawa's top attractions. High-speed Wi-Fi, air conditioning, and a washer and dryer ensure a stress-free stay. Book now and experience the best of Ottawa!",,https://a0.muscache.com/pictures/miso/Hosting-5696970/original/97c4d7a8-22ea-47ba-8202-5ff39340f705.jpeg,29536936,https://www.airbnb.com/users/show/29536936,Klajdi,2015-03-17,"Ottawa, Canada",,within a day,100%,0%,f,https://a0.muscache.com/im/pictures/user/e8474a90-7025-4f4d-a0fb-6463a78f7297.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/e8474a90-7025-4f4d-a0fb-6463a78f7297.jpg?aki_policy=profile_x_medium,Carlington,1,1,"['email', 'phone', 'work_email']",t,t,,River,,45.38448,-75.7338,Entire home,Entire home/apt,5,1.5,1.5 baths,2.0,3.0,"[""Toaster"", ""Outdoor furniture"", ""TV"", ""Long term stays allowed"", ""Coffee maker: espresso machine"", ""Host greets you"", ""Free parking on premises"", ""Air conditioning"", ""Free street parking"", ""Washer"", ""Hair dryer"", ""Fire extinguisher"", ""Wifi"", ""GE refrigerator"", ""Dryer"", ""Bread maker"", ""Clothing storage: closet and wardrobe"", ""Luggage dropoff allowed"", ""Body soap"", ""Books and reading material"", ""Private patio or balcony"", ""Shower gel"", ""Private backyard"", ""GE stainless steel single oven"", ""Fireplace guards"", ""Room-darkening shades"", ""GE stainless steel electric stove"", ""Mosquito net"", ""Private entrance"", ""Hot water kettle"", ""Bed linens"", ""Bathtub"", ""Shampoo"", ""Standalone high chair - available upon request"", ""Freezer"", ""Kitchen"", ""Exterior security cameras on property"", ""Wine glasses"", ""Iron"", ""Dishes and silverware"", ""Microwave"", ""Blender"", ""Dishwasher"", ""Cooking basics"", ""First aid kit"", ""Paid parking off premises"", ""Hot water"", ""Central heating"", ""Carbon monoxide alarm"", ""Smoke alarm""]",$88.00,30,60,30,30,60,60,30.0,60.0,,t,9,39,69,69,2024-09-15,0,0,0,,,,,,,,,,,f,1,1,0,0,
45,6197420,https://www.airbnb.com/rooms/6197420,20240915172945,2024-09-15,city scrape,"Gorgeous, Large 3 Bed Downtown with Parking","Your oasis nestled in the city. Bright, modern open-concept living. 3 Bedroom, 2 balcony, 1.5 bath. Hardwood floors throughout, fully stocked kitchen with a gas stove, dishwasher, coffee maker, microwave, blender, toaster oven & cookware. Condo is approximately 1300 square feet with large living room sitting area & 3 large bedrooms. Close to everything. Walk to the Byward Market, Parliament, the Canal & more. Great location in the heart of beautiful Ottawa. Long term stays are welcome.","If you’re looking to live in the heart of downtown Ottawa, Centretown is the place to be. Centretown is a leafy residential district with a busy commercial core of clothes stores, brunch spots and lively Irish pubs on Elgin and Bank streets. The Rideau Canal is popular for its waterside trail and becomes an ice-skating rink in winter, while Dundonald and Jack Purcell parks are dotted with monuments and public artwork. The Canadian Museum of Nature has exhibits on Arctic fossils and polar bears.<br /><br />Centretown’s history is naturally intertwined with the history of Ottawa, and you can see that history anywhere you look. Just north of the “official” boundaries of Centretown are the Parliament Buildings of Canada, the famous Chateau Laurier, the former Ottawa central train station, and historic Sparks St. West of Elgin, you’ll find many of the bank and financial towers that keep the city’s economy moving forward.<br /><br />As you head further south, the character gradually changes ",https://a0.muscache.com/pictures/af30909f-0659-44aa-bfbc-9fc20562e46e.jpg,7354245,https://www.airbnb.com/users/show/7354245,Lisa,2013-07-08,"Ontario, Canada","I love to travel and really enjoy meeting new people and learning about different cultures. I am morally aligned with the AIRBNB vision of helping you discover amazing places while you travel within the comforts of home.

I have been an Airbnb host now for over 9 years. I love interacting with my guests and ensuring they're happy in their space. 

I'm non-smoking, responsible, clean and very respectful of other peoples property.",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/b5d742b5-c0ed-450a-8b75-3a18c615a4ba.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/b5d742b5-c0ed-450a-8b75-3a18c615a4ba.jpg?aki_policy=profile_x_medium,Overbrook,35,91,"['email', 'phone']",t,t,Neighborhood highlights,Somerset,,45.41342,-75.70607,Entire townhouse,Entire home/apt,8,1.5,1.5 baths,3.0,4.0,"[""Children\u2019s dinnerware"", ""Ceiling fan"", ""Toaster"", ""Outdoor furniture"", ""TV"", ""Long term stays allowed"", ""Central air conditioning"", ""Self check-in"", ""Extra pillows and blankets"", ""Oven"", ""Pets allowed"", ""Conditioner"", ""Dining table"", ""Free parking on premises"", ""Free street parking"", ""Hair dryer"", ""Refrigerator"", ""Portable fans"", ""Window guards"", ""Fire extinguisher"", ""Wifi"", ""Heating"", ""Luggage dropoff allowed"", ""Cleaning products"", ""Body soap"", ""Private patio or balcony"", ""Shower gel"", ""Essentials"", ""Free dryer \u2013 In unit"", ""Room-darkening shades"", ""Clothing storage: closet"", ""Private entrance"", ""Hot water kettle"", ""Bed linens"", ""Keypad"", ""Bathtub"", ""Coffee maker"", ""Shampoo"", ""Free washer \u2013 In unit"", ""Crib"", ""Hangers"", ""Pack \u2019n play/Travel crib"", ""High chair"", ""Freezer"", ""Courtyard view"", ""Kitchen"", ""Wine glasses"", ""Drying rack for clothing"", ""Iron"", ""GE stainless steel gas stove"", ""Dishes and silverware"", ""Microwave"", ""Dishwasher"", ""Baking sheet"", ""Dedicated workspace"", ""First aid kit"", ""Cooking basics"", ""Paid parking off premises"", ""Hot water"", ""Carbon monoxide alarm"", ""Smoke alarm""]",$248.00,30,999,30,30,999,999,30.0,999.0,,t,19,49,70,321,2024-09-15,140,4,0,2015-06-29,2024-08-03,4.69,4.8,4.76,4.91,4.93,4.76,4.62,Exempt,f,22,22,0,0,1.25
58,7256615,https://www.airbnb.com/rooms/7256615,20240915172945,2024-09-15,city scrape,Upscale Country Home/ Ottawa Canada,A new contemporary country home awaits you to golf at one of Ontario's best golf courses: Eagle Creek (ClubLink).  This home is 30 minutes from Downtown Ottawa where you can spend the day sightseeing and return to a tranquil relaxing environment!,"The area of Dunrobin is very rural and yet within 15 to 20 minutes to the suburb of Kanata where there is outlet shopping, grocery stores, liquor stores, movie theaters, hockey games and concerts at the Canadian Tire Centre.",https://a0.muscache.com/pictures/92299134/1ae71cc8_original.jpg,35485441,https://www.airbnb.com/users/show/35485441,Brenda,2015-06-10,"Dunrobin, Canada","I am a professional interior designer and have owned an interior design firm for 25 years , recently selling the firm 5 years ago.  I am currently employed by my firm on contract as I am now semi retired.  My husband and I recently decided to host our 2 properties (one in Florida and the other in Ottawa) to enable us to travel and be quests in other parts of the world.  We have a great lifestyle and enjoy sharing it with others.  Our homes are very well equipped and of course lovely both interior and exterior.  The community is safe and very private. We have 4 adult children and 2 grandchildren with another on the way.  We enjoy being active and walk and cycle daily to ensure good health.  We are anxious to travel Europe and explore the world.",,,,f,https://a0.muscache.com/im/users/35485441/profile_pic/1434392027/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/35485441/profile_pic/1434392027/original.jpg?aki_policy=profile_x_medium,,2,2,['phone'],t,t,Neighborhood highlights,West Carleton-March,,45.47205,-76.03468,Entire home,Entire home/apt,6,3.0,3 baths,3.0,3.0,"[""Fire extinguisher"", ""Wifi"", ""First aid kit"", ""Kitchen"", ""Dryer"", ""Heating"", ""Smoke alarm"", ""Free parking on premises"", ""TV with standard cable"", ""Air conditioning"", ""Washer"", ""Carbon monoxide alarm"", ""Essentials"", ""Indoor fireplace""]",$200.00,30,180,30,30,180,180,30.0,180.0,,t,0,28,58,291,2024-09-15,1,0,0,2021-12-07,2021-12-07,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,1,1,0,0,0.03
64,7840014,https://www.airbnb.com/rooms/7840014,20240915172945,2024-09-15,city scrape,Charming House in West Ottawa,This is a 5 to 6 bedroom house.   It is considered huge by many guest's standards.  It has a dinning room and two living rooms.  The house is 2500 SQ feet. The location of this paradise is surreal on a 100 acres of land with a pond and Forrest area with ski trials.  Only 10 minutes from Canadian Tire Centre and 25 minutes from the parliament buildings in downtown Ottawa.  Great for skiing on 100 acres.,,https://a0.muscache.com/pictures/99820522/4b189fb0_original.jpg,28096363,https://www.airbnb.com/users/show/28096363,Andy Diane,2015-02-21,"Gatineau, Canada",I love traveling and I have taken the best of my travels and put it into my home to share with everyone.,,,0%,f,https://a0.muscache.com/im/pictures/user/c7af4c26-0f7f-4990-9091-9dcd037481fc.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/c7af4c26-0f7f-4990-9091-9dcd037481fc.jpg?aki_policy=profile_x_medium,,3,8,"['email', 'phone']",t,t,,West Carleton-March,,45.25667,-76.06605,Entire home,Entire home/apt,10,2.5,2.5 baths,6.0,5.0,"[""Fire extinguisher"", ""Wifi"", ""First aid kit"", ""TV"", ""Kitchen"", ""Dryer"", ""Ski-in/Ski-out"", ""Gym"", ""Heating"", ""Smoke alarm"", ""Pets allowed"", ""Free parking on premises"", ""Washer"", ""Carbon monoxide alarm"", ""Hot water"", ""Essentials"", ""Indoor fireplace""]",$469.00,30,1125,30,30,1125,1125,30.0,1125.0,,t,30,60,90,90,2024-09-15,29,0,0,2015-09-08,2020-08-02,4.55,4.69,4.31,4.86,4.83,4.79,4.86,,f,1,1,0,0,0.26
